2    0.000000   -0.086957    0.013043
3    0.000000   -0.043478    0.000000
5    0.000000    0.086957    0.000000
26   0.000000    0.043478   -0.017391
25   0.000000    0.043478   -0.008696
24   0.000000    0.017391    0.000000
22   0.000000    0.017391    0.000000
59   0.000000    0.043478   -0.017391
58   0.000000    0.043478   -0.008696
57   0.000000    0.017391    0.000000
55   0.000000    0.017391    0.000000
68   0.000000    0.008696    0.000000
70   0.000000    0.008696    0.000000
72   0.000000    0.008696    0.000000
74   0.000000    0.008696    0.000000
99   0.000000    0.017391    0.000000
100  0.000000    0.017391    0.000000
101  0.000000    0.017391    0.000000
102  0.000000    0.017391    0.000000
107  0.000000    0.017391    0.000000
108  0.000000    0.017391    0.000000
109  0.000000    0.017391    0.000000
110  0.000000    0.017391    0.000000
