0   11  1
0   1   34
0   34  44
11  12  1
44  34  45
1   12  13
1   13  2
1   2   34
2   46  34
34  46  45
12  14  13
13  14  15
13  15  16
2   13  16
2   16  17
2   17  3
2   3   50
2   50  49
2   49  46
46  49  48
46  48  47
45  46  47
14  29  15
15  29  20
18  15  19
18  16  15
16  18  17
17  18  19
17  23  77
3   17  77
3   78  50
78  56  50
50  52  51
49  50  51
48  49  51
48  51  52
48  53  62
47  48  62
29  28  27
20  29  27
24  26  25
57  58  59
53  60  62
62  60  61
111 26  33
75  26  111
75  25  26
76  59  58
76  112 59
112 66  59
6   33  7
6   7   66
9   32  10
9   10  65
6   76  5
6   5   75
3   77  78
7   33  79
7   79  81
7   81  87
7   80  66
7   82  80
7   87  82
80  82  89
80  89  64
79  88  81
79  31  88
26  79  33
26  31  79
59  66  80
59  80  64
88  83  85
88  85  31
83  8   85
83  40  8
8   40  84
8   84  86
86  89  84
86  64  89
9   85  8
9   8   86
32  85  31
32  9   85
65  86  64
65  9   86
27  26  24
90  30  32
90  32  31
90  30  28
90  26  31
90  27  26
90  28  27
60  59  57
91  65  63
91  64  65
91  61  63
91  64  59
91  59  60
91  60  61
92  77  23
92  23  25
92  25  75
93  56  78
93  76  58
93  58  56
94  77  92
94  92  75
94  75  5
94  5   76
94  76  93
94  93  78
94  78  77
20  95  15
20  97  95
20  101 99
20  27  101
95  19  15
95  21  19
95  97  21
101 27  24
101 24  22
101 22  99
23  103 17
23  105 103
23  109 107
23  25  109
103 17  19
103 19  21
103 21  105
109 107 22
109 22  24
109 24  25
56  104 50
56  106 104
56  110 108
56  58  110
104 52  50
104 54  52
104 106 54
110 55  108
110 57  55
110 58  57
53  48  96
53  98  96
53  100 102
53  102 60
96  48  52
96  52  54
96  54  98
102 100 55
102 55  57
102 57  60
111 6   75
111 33  6
112 76  6
112 6   66
73  74  70
73  70  69
67  68  72
67  72  71
53  69  70
56  74  73
23  71  72
20  68  67
98  69  53
54  69  98
54  73  69
54  106 73
106 56  73
56  108 74
55  74  108
55  70  74
55  100 70
100 53  70
20  67  97
97  67  21
21  67  71
21  71  105
105 71  23
20  99  68
68  99  22
22  72  68
22  107 72
107 23  72
