31   0.090000    0.000000   -0.090000
8    0.000000    0.032500   -0.017391
33   0.000000   -0.022000   -0.025500
7    0.000000   -0.022000   -0.010000
64  -0.090000    0.000000   -0.090000
66   0.000000   -0.022000   -0.025500
79   0.045000   -0.020000   -0.020000
80  -0.045000   -0.020000   -0.020000
81   0.040000    0.000000   -0.020000
82  -0.040000    0.000000   -0.020000
83   0.040000    0.000000   -0.020000
84  -0.040000    0.000000   -0.020000
85   0.045000    0.023000   -0.020000
86  -0.045000    0.023000   -0.020000
88   0.080000    0.000000   -0.080000
89  -0.080000    0.000000   -0.080000
90   0.040000    0.000000   -0.040000
91  -0.040000    0.000000   -0.040000
